fips,county,cbsa,msa_name,cluster_core,county_cat,is_center,naics,industry,estabs,emp,wages,avg_pay,weekly_wage,lq_emp,lq_pay,disclosure_code
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238221,NAICS 238221 Residential plumbing and hvac contractors,1350,13894,979598858,70506,1356,1.44,1.13,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238222,NAICS 238222 Nonresidential plumbing and hvac contractors,425,13473,1215290713,90204,1735,1.56,1.08,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238291,NAICS 238291 Other residential equipment contractors,47,176,12335947,70257,1351,0.73,1.13,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238292,NAICS 238292 Other nonresidential equipment contractors,74,1376,130183292,94587,1819,0.69,1.01,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238311,NAICS 238311 Residential drywall contractors,235,3444,189985533,55159,1061,2.0,0.97,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238312,NAICS 238312 Nonresidential drywall contractors,102,2782,189175844,68008,1308,1.48,0.91,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238321,NAICS 238321 Residential painting contractors,354,2077,110506692,53203,1023,1.11,1.13,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238322,NAICS 238322 Nonresidential painting contractors,96,1721,104479728,60706,1167,1.56,0.92,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238331,NAICS 238331 Residential flooring contractors,213,1032,71258507,69027,1327,1.33,1.27,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238332,NAICS 238332 Nonresidential flooring contractors,54,449,32463431,72275,1390,1.09,0.95,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238341,NAICS 238341 Residential tile and terrazzo contractors,154,657,37184493,56569,1088,1.04,1.05,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238342,NAICS 238342 Nonresidential tile and terrazzo contractors,21,104,5254130,50724,975,0.54,0.73,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238351,NAICS 238351 Residential finish carpentry contractors,379,3508,227152192,64750,1245,1.89,1.14,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238352,NAICS 238352 Nonresidential finish carpentry contractors,59,553,38858098,70236,1351,1.13,0.95,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238391,NAICS 238391 Other residential finishing contractors,81,451,25058524,55614,1069,0.83,0.93,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238392,NAICS 238392 Other nonresidential finishing contractors,74,887,54312695,61226,1177,1.25,0.91,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238911,NAICS 238911 Residential site preparation contractors,174,2387,162315077,68014,1308,1.14,1.12,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238912,NAICS 238912 Nonresidential site preparation contractors,142,3168,240305816,75848,1459,0.89,1.02,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238991,NAICS 238991 All other residential trade contractors,462,4216,274147795,65029,1251,1.53,1.12,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238992,NAICS 238992 All other nonresidential trade contractors,183,2908,231376283,79570,1530,1.05,1.05,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311111,NAICS 311111 Dog and cat food manufacturing,6,29,1520617,52738,1014,0.05,0.7,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311119,NAICS 311119 Other animal food manufacturing,6,33,2052896,61896,1190,0.06,0.89,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311211,NAICS 311211 Flour milling,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311225,NAICS 311225 Fats and oils refining and blending,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311230,NAICS 311230 Breakfast cereal manufacturing,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311340,NAICS 311340 Nonchocolate confectionery manufacturing,6,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311351,NAICS 311351 Chocolate and confectionery manufacturing from cacao beans,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311352,NAICS 311352 Confectionery manufacturing from purchased chocolate,3,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311412,NAICS 311412 Frozen specialty food manufacturing,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311421,NAICS 311421 Fruit and vegetable canning,8,253,13733990,54356,1045,0.31,0.86,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311422,NAICS 311422 Specialty canning,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311423,NAICS 311423 Dried and dehydrated food manufacturing,0,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311511,NAICS 311511 Fluid milk manufacturing,3,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311513,NAICS 311513 Cheese manufacturing,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311514,"NAICS 311514 Dry, condensed, and evaporated dairy product manufacturing",1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311520,NAICS 311520 Ice cream and frozen dessert manufacturing,10,193,12998089,67493,1298,0.53,1.23,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311611,NAICS 311611 Animal (except poultry) slaughtering,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311612,NAICS 311612 Meat processed from carcasses,7,90,4062945,45186,869,0.04,0.81,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311613,NAICS 311613 Rendering and meat byproduct processing,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311710,NAICS 311710 Seafood product preparation and packaging,5,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311811,NAICS 311811 Retail bakeries,57,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311812,NAICS 311812 Commercial bakeries,40,2533,124575451,49191,946,1.22,0.91,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311813,"NAICS 311813 Frozen cakes, pies, and other pastries manufacturing",1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311821,NAICS 311821 Cookie and cracker manufacturing,5,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,311824,"NAICS 311824 Dry pasta, dough, and flour mixes manufacturing from purchased flour",4,0,0,0,0,0.0,0.0,N
